system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,agbd,bsi,class,dem,evi,mndwi,ndbi,ndvi,slope,.geo
56,0.03664108953937282,0.178546730633094,0.08209634615050397,0.03388553704515613,0.05143266089036461,0.03222398941080758,0.08800194131926307,0.20888898186021543,0.2504736159474415,0.25774894469884424,0.2805604406634606,0.2733654767141313,273.549286,-0.17602504834094332,1,171.1727,0.4619879202695086,-0.5547069,-0.20011972,0.7763792,9.390706,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,0.048731744684827556,0.20032158255316695,0.097208312167623,0.0503406800522504,0.06879691140541676,0.04503891303348293,0.1065152486220138,0.27068568770342355,0.32638998165744454,0.33404135614379205,0.3600062970892494,0.3507892945605851,139.45659274265708,-0.23459349658968368,1,258.2671,0.5788780847002295,-0.50510025,-0.2681721,0.76792914,23.765282,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,0.03390417700736198,0.15604279197295537,0.07532901750080521,0.03814271869943774,0.05364856755463606,0.03550725481989013,0.08745099348554557,0.21214697717011247,0.2600613807304397,0.2662554186021762,0.28607893493897246,0.2879546092421257,243.75734090181516,-0.22515534116608363,1,667.0806,0.48012767055783706,-0.49831265,-0.25783822,0.7677491,28.75795,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,0.03313084451949177,0.17460655032445865,0.08469813939056764,0.03438420105544704,0.04797899360551724,0.034802664491829394,0.07917727812580229,0.1875783470180352,0.22506879016739242,0.2339668777979769,0.25395661990117097,0.2583573490315209,412.291259765625,-0.14928467988760966,1,405.31958,0.40639567052083647,-0.5779944,-0.1782389,0.75126296,21.150042,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,0.0305090200415128,0.1433622147497597,0.06416659991192775,0.029733212659478175,0.045757042332958166,0.02574312730103628,0.07518466357938197,0.21130229481709803,0.2592448107711589,0.2652917700742607,0.2869897950038961,0.2839251291121909,242.9251428025287,-0.2560115325819968,1,511.69028,0.4958316685117263,-0.5225822,-0.28759086,0.81451905,6.5185423,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,0.052703206026429014,0.18920745460994273,0.08756046497459462,0.04762746554378978,0.06319662848857163,0.04068755378070587,0.09805221843855493,0.25370280695858566,0.31173455876746825,0.3145502588692173,0.3448768864874479,0.34471913501912727,201.82617239056495,-0.21428200805546252,1,210.49326,0.5614792753876964,-0.5020073,-0.24109583,0.7723197,24.91126,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,0.03789746176915141,0.1943088754980036,0.09541309068957307,0.03897805926877758,0.054387147181833746,0.040076165846894815,0.09108161823458066,0.22955418159993768,0.274142029216833,0.2750536896514838,0.31159081804100625,0.3048336261975031,113.936943,-0.16394768687716574,1,188.83032,0.48412471356128767,-0.5653611,-0.18452913,0.7548162,12.569443,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,0.039667817569760996,0.18887015650151004,0.09714512170222234,0.03690982259593773,0.05302641101146498,0.04335346057901124,0.09300601126776122,0.1810088731315505,0.21653088009113228,0.2241522671451402,0.24940163605275711,0.2427867834628949,111.71085346377167,-0.08785542392233556,1,127.79424,0.36489416914715966,-0.581983,-0.11489424,0.69772285,18.365652,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,0.027218323212286857,0.14790004502336848,0.06702727175565672,0.027721620283988033,0.04534365001605188,0.02548870393321295,0.07777082614788106,0.21623485017825336,0.26649796254073704,0.2732594088944236,0.2967151527665515,0.2991537151630677,115.058212,-0.25250427455671964,1,406.095,0.5013296513065472,-0.5392854,-0.28198183,0.82461375,26.237022,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,0.023471002685886713,0.1363697915387381,0.06422575822412811,0.024643223440091132,0.042598066356876144,0.024571227007451405,0.07435584936717377,0.19500382762566343,0.23792217152240133,0.24245752917163976,0.2619848123400408,0.27158298778626916,151.022171,-0.23294866596795796,1,1061.8168,0.44470499447828044,-0.5215156,-0.2653535,0.8104296,13.764659,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,0.033077169624478264,0.1858157685990786,0.08603845968605484,0.03257680142688933,0.04911483913136119,0.03454330479696628,0.08375720197354565,0.19648176993277477,0.2381880586683261,0.24997778170940035,0.2729498691009021,0.27176468946521515,508.9464807975405,-0.15350164967662946,1,175.2515,0.4269587305467997,-0.5864478,-0.18249989,0.759327,15.472886,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,0.03570739208846351,0.14286937925791865,0.06554113244338745,0.03198467363555225,0.04764232479766841,0.0272955950856301,0.0777601290503514,0.2280000179992453,0.28171882957696814,0.2806352571066657,0.3069367570848287,0.30558793494463116,248.121979,-0.27894717269952485,1,586.64404,0.5152076316554077,-0.51195645,-0.31583747,0.8250825,13.323035,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,0.025581242635846765,0.1394365086212299,0.06430197150704121,0.026887032212957206,0.043555861961451295,0.025412753336954995,0.0751091761599106,0.20616316497824347,0.2547083467486876,0.26194142988475405,0.2799967457336331,0.27947142128725455,171.143936,-0.25386065130533697,1,1032.9066,0.4796631358495781,-0.5297462,-0.28596216,0.81939363,21.565449,"{""type"":""MultiPoint"",""coordinates"":[]}"
